Rk,Season,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
102,2023-24,2023-11-09,Iowa,N,Virginia Tech,REG,W,1,40,13,31,.419,8,15,.533,5,16,.313,13,17,.765,0,8,8,6,0,1,1,2,44
103,2023-24,2023-11-12,Iowa,@,Northern Iowa,REG,W,1,31,6,13,.462,4,8,.500,2,5,.400,10,12,.833,0,10,10,11,1,0,3,1,24
104,2023-24,2023-11-16,Iowa,,Kansas State,REG,L,1,37,9,32,.281,7,16,.438,2,16,.125,4,5,.800,0,6,6,3,0,0,4,0,24
105,2023-24,2023-11-19,Iowa,,Drake,REG,W,1,30,14,22,.636,9,11,.818,5,11,.455,2,2,1.000,0,6,6,10,7,0,3,2,35
106,2023-24,2023-11-24,Iowa,N,Purdue Fort Wayne,REG,W,1,23,8,13,.615,2,4,.500,6,9,.667,7,9,.778,0,3,3,8,3,0,5,1,29
107,2023-24,2023-11-25,Iowa,N,Florida Gulf Coast,REG,W,1,26,7,14,.500,3,6,.500,4,8,.500,3,4,.750,2,4,6,6,0,0,6,1,21
108,2023-24,2023-11-26,Iowa,N,Kansas State,REG,W,1,39,10,25,.400,3,9,.333,7,16,.438,5,8,.625,1,4,5,6,3,0,2,1,32
109,2023-24,2023-12-02,Iowa,,Bowling Green State,REG,W,1,32,10,20,.500,8,9,.889,2,11,.182,2,3,.667,0,7,7,11,0,2,4,3,24
110,2023-24,2023-12-06,Iowa,@,Iowa State,REG,W,1,39,12,31,.387,6,15,.400,6,16,.375,5,5,1.000,2,7,9,5,0,0,3,4,35
111,2023-24,2023-12-10,Iowa,@,Wisconsin,REG,W,1,35,11,19,.579,7,11,.636,4,8,.500,2,2,1.000,1,8,9,5,0,0,4,1,28
112,2023-24,2023-12-16,Iowa,N,Cleveland State,REG,W,1,31,13,21,.619,4,5,.800,9,16,.563,3,3,1.000,0,5,5,5,2,0,9,3,38
113,2023-24,2023-12-21,Iowa,,Loyola (IL),REG,W,1,36,12,21,.571,8,9,.889,4,12,.333,7,8,.875,1,16,17,10,1,1,4,1,35
114,2023-24,2023-12-30,Iowa,,Minnesota,REG,W,1,32,13,22,.591,5,6,.833,8,16,.500,1,3,.333,0,5,5,10,2,2,9,2,35
115,2023-24,2024-01-02,Iowa,,Michigan State,REG,W,1,37,14,34,.412,6,14,.429,8,20,.400,4,4,1.000,0,1,1,5,3,1,6,2,40
116,2023-24,2024-01-05,Iowa,@,Rutgers,REG,W,1,29,10,22,.455,7,13,.538,3,9,.333,6,7,.857,1,9,10,10,2,0,3,3,29
117,2023-24,2024-01-10,Iowa,@,Purdue,REG,W,1,35,8,18,.444,2,4,.500,6,14,.429,4,4,1.000,0,10,10,10,1,1,5,1,26
118,2023-24,2024-01-13,Iowa,,Indiana,REG,W,1,34,10,21,.476,4,5,.800,6,16,.375,4,4,1.000,0,5,5,11,1,1,6,4,30
119,2023-24,2024-01-16,Iowa,,Wisconsin,REG,W,1,33,8,18,.444,2,4,.500,6,14,.429,10,10,1.000,0,7,7,5,4,1,4,1,32
120,2023-24,2024-01-21,Iowa,@,Ohio State,REG,L,1,43,12,25,.480,5,7,.714,7,18,.389,14,16,.875,0,3,3,7,2,1,7,4,45
121,2023-24,2024-01-27,Iowa,,Nebraska,REG,W,1,35,12,22,.545,4,7,.571,8,15,.533,6,7,.857,0,10,10,6,2,0,5,3,38
122,2023-24,2024-01-31,Iowa,@,Northwestern,REG,W,1,32,11,22,.500,8,10,.800,3,12,.250,10,10,1.000,0,6,6,10,2,1,1,1,35
123,2023-24,2024-02-03,Iowa,@,Maryland,REG,W,1,39,13,29,.448,6,12,.500,7,17,.412,5,5,1.000,0,6,6,12,0,1,6,1,38
124,2023-24,2024-02-08,Iowa,,Penn State,REG,W,1,37,8,23,.348,4,9,.444,4,14,.286,7,7,1.000,0,5,5,15,0,1,12,3,27
125,2023-24,2024-02-11,Iowa,@,Nebraska,REG,L,1,39,10,25,.400,5,10,.500,5,15,.333,6,9,.667,0,8,8,10,4,2,2,1,31
126,2023-24,2024-02-15,Iowa,,Michigan,REG,W,1,37,16,31,.516,7,13,.538,9,18,.500,8,8,1.000,0,5,5,13,1,0,5,1,49
127,2023-24,2024-02-22,Iowa,@,Indiana,REG,L,1,39,8,26,.308,5,10,.500,3,16,.188,5,8,.625,0,10,10,9,2,0,5,2,24
128,2023-24,2024-02-25,Iowa,,Illinois,REG,W,1,33,6,18,.333,1,4,.250,5,14,.357,7,8,.875,1,14,15,10,2,0,5,2,24
129,2023-24,2024-02-28,Iowa,@,Minnesota,REG,W,1,29,12,20,.600,4,6,.667,8,14,.571,1,1,1.000,1,9,10,12,2,0,5,3,33
130,2023-24,2024-03-03,Iowa,,Ohio State,REG,W,1,39,10,26,.385,4,9,.444,6,17,.353,9,10,.900,0,6,6,9,3,0,5,3,35
131,2023-24,2024-03-08,Iowa,N,Penn State,CTOURN,W,1,32,5,19,.263,3,5,.600,2,14,.143,12,13,.923,0,10,10,7,1,1,6,1,24
132,2023-24,2024-03-09,Iowa,N,Michigan,CTOURN,W,1,32,10,19,.526,6,8,.750,4,11,.364,4,4,1.000,0,4,4,15,2,0,6,2,28
133,2023-24,2024-03-10,Iowa,N,Nebraska,CTOURN,W,1,44,12,29,.414,7,12,.583,5,17,.294,5,6,.833,2,5,7,12,3,0,7,3,34
134,2023-24,2024-03-23,Iowa,,Holy Cross,ROUND-64,W,1,32,8,19,.421,5,10,.500,3,9,.333,8,9,.889,1,7,8,10,3,1,6,3,27
135,2023-24,2024-03-25,Iowa,,West Virginia,ROUND-32,W,1,40,8,22,.364,3,8,.375,5,14,.357,11,12,.917,0,8,8,3,2,0,6,1,32
136,2023-24,2024-03-30,Iowa,N,Colorado,ROUND-16,W,1,36,13,22,.591,10,11,.909,3,11,.273,0,0,,0,6,6,15,1,1,2,3,29
,,136 Games,,,,,,136,4714,1263,2723,.464,732,1315,.557,531,1408,.377,802,934,.859,60,906,966,1120,206,73,626,299,3859
